DATE,CONTENT
20240320,뭐야 내가 글을 잘못 쓴거야?댓글이 병신인거야?
20240320,해붕이 요즘 피부상태가 안좋다....
20240320,애미창민 은퇴하면 피엘 보지도 않고 조트넘만 보는 손뽕들이
20240320,아직도 대가리 안깨진 새끼들은 뭐 ㄹㅇ 앰생이거나 조선족 알바겠지
20240320,핑크 ㅂㅈ 유니폼
20240320,파리 유니폼은 이게 진짜 예쁨ㅇㅇ
20240320,저 밑에 유사 평행 이론 글 그럴듯 하네
20240320,찬밥이 크라상 크림 홈에 뜨네ㅋㅋㅋ
20240320,"🔞 원나잇하기 요즘 개쉽다,jpg"
20240320,1순위가 돈이면 망하게 되어있어
20240320,쿠르투아 반월판 부상 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
20240320,🔞 원나잇하기 요즘 개쉽다.jpg
20240320,우리집앞 새로바뀐 편돌이 개팼다ㅡㅡ
20240320,축구는 이피엘 라리가 지
20240320,리그부심 부리는이유? 풀럼 울버햄튼한테 뒤지게 쳐맞으니까
20240320,이강인  인스타 악플 하나같이 개줌 틀딱임
20240320,클럽레전드 피엘통산기록 1위 도전하고있던 선수가 빤스런하는클럽
20240320,창민이 정치력이 개좆으로 보이냐
20240320,손흥민 정치질은 축알못 국뽕들이나 속지 투명하게 보이는대
20240320,이강인 입국짤 팬들보니까 다 어리더라
20240320,김코치 속시원하네 ㅋㅋ
20240320,유니폼은 죄가 없다
20240320,앰창민이 스스로 손까를 만들고 있다
20240320,앰창견들 말하는꼬라지보면 이새끼들 아예
20240320,"🔞 야 카 오 톢 레전드,jpg"
20240320,"EPL, 세리아, 라리가 정도면 볼만하지"
20240320,피엘은 번리전도 보는 재미가 있는데
20240320,이강인 댓글 시발 뭐냐
20240320,Psg pl로오면 그펠급이야 병신 년들아ㅋㅋ
20240320,손흥민 이강인 둘 다 나가리되야 한국축구가 산다
20240320,리그앙의 충격적인 현실
20240320,MLB NBA 해외축구 스포츠 모든경기 보는곳
20240320,손뽕들 하키미 음바페는 못건드리네? 하긴 월베출신에
20240320,🔞 야 카 오 톢 레전드.jpg
20240320,유럽짱깨리그 올려치는ㅈ병신 아줌씨들 역겹네ㅋㅋ
20240320,피엘 빅6는 어떤 리그를 가도 우승경쟁함
20240320,손흥민 이중적인 성격 다 파헤쳐지는거 보니까
20240320,pl정도는 가줘야 한국놈들이 가끔 밤새워가며 리그보지
20240320,새계 여성의날 유니폼이냐
20240320,이강인 갤러리도 모자라서 해축갤도 찬밥단이 먹은 거임?
20240320,손뽕들이 리그 부심이 심한게 아니라
20240320,[팩트] 하키미 탁구 사진 팩트 알려준다 ㅋㅋㅋ
20240320,그냥 박브라 보면 암ㅇㅇㅋㅋ
20240320,클럽 랭킹 저거는 당연히 피엘팀이 불리한거임
20240320,쿠팡년들 파리 경기때는 사진 안박다가
20240320,리버풀이나 맨시티빨면서 리그딸치면 이해라도 하는데
20240320,창민이 인성은 이것만 봐도 알 수 있음
20240320,대표팀 유니폼 꼴아지 봐라
20240320,강인이를 위한 팀이 되어선 안된다 까지 햇을땐 그래도
20240319,공항 한산 (33.퇴물)
20240319,손까 밥줌들은 손흥민을 증오하는 수준을 넘어선거같음.factos
20240319,찬밥인 극 상위호환이 미나미노임
20240319,메시 노쇼 50퍼 환불
20240319,이거 왜그런건지 아시는분??
20240319,밥줌마들 서태지빨면 도대체 몇살이냐??
20240319,공항 클린스만(33 좆소무관)
20240319,그냥 애초에 찬밥이는 개거품 언플 슛돌이 천재가스라이팅빨임
20240319,개조센 연금하마 틀딱 = 고려장이 답..jpg
20240319,손흥민-김진수-이재성은 청대 라인임
20240319,누군 평생해도 무관좆소정치인 누군23살에 빅클럽 트레블각ㅋ
20240319,태국전 안볼래
20240319,플메가 작전 말하는데 패스 받아야 하는 새끼 표정 봤제?
20240319,5천만 국민이 공항에 올줄 알았는데
20240319,앰창민은 그냥 문선민선에서 컷이라니까?
20240319,국대 김진수 왜 또 뽑혔노?ㅋㅋㅋㅋ
20240319,근데 왜 유니폼 벗고 세레머니하면 경고 받음?
20240319,국민은 민망해서 사과받기 싫은데 어쩌지
20240319,찬대남 미래
20240319,이강인 골장면 본애들은 바페가 강인이 손짓보고
20240319,음바페 입 크다
20240319,진짜 본질은 못보고 곁 가지만 보는 멍청한 새끼들
20240319,'원폭 및 방사능 피폭' 세계 세슘 대국 ㅋㅋㅋㅋ
20240319,현역 중에 터치 이거 하나만 보면 누가 원탑임?
20240319,솔직히 요즘은 찬줌들 발광하는거 보는거 그냥 웃김 ㅋㅋ
20240319,현역시절 로베리본 해붕이있음?
20240319,이강인이 미드필더를 ㄹㅇ 잘하는듯
20240319,손까 찬줌들 전성기가 보통 오전9시 ~ 오후3시 이정도
20240319,내생각엔 이강인 손흥민 아직도 화해안함ㅋㅋㅋㅋㅋㅋㅋ
20240319,정치권에서도 괜히 이대남을 개무시 하는게 아님 ㄹㅇ
20240319,박상만 ㅅㅂ놈 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
20240319,근데 이강인 손흥민 둘다 은퇴하면 여기 갤 망함??
20240319,이강인이 진짜로 국대은퇴 박으면 개웃기긴 하겠다 ㅋㅋㅋ
20240319,근데 솔직히 창민이랑 파벌들 이제 은퇴하는게 맞잖아 ㅋㅋ
20240319,국대가 개판 5분후인데 주장이 책임이 없다??? 주장은
20240319,애초에 손뽕 = 고경진같은 새끼임ㅋㅋㅋㅋㅋ
20240319,군소리하나없이 말 잘들으면 악폐습 생기는거임 ㅇㅇ
20240319,병신.jpg
20240319,밥줌마 나이인증.jpg
20240319,이대남 <<<<< 대한민국 욕하지만 꿀은 제일 많이 빠는 세대임 ㄹㅇ
20240319,맨시티는 싫은데
20240319,음바페 달려가는 건 시발 존나 친하니까 그렇지
20240319,아직도 보이지않는 무언가 드립치고있네
20240319,개조센 연금하마 틀딱 = 고려장이 답..jpg
20240319,여기 념글들 왜이러냐 이젠 대놓고 이강인갤이네
20240319,'10대 소녀 길거리 9만원 매춘' 세계 창녀 대국 ㅋㅋㅋㅋ
20240319,개인이 싸운걸 대국민 사과하는 나라 존나 쪽팔린다
20240319,개조센 연금하마 틀딱 = 고려장이 답..jpg
20240319,이승우 그만 언급해라.
20240319,손흥민 이강인 갑빠차이
20240318,이거는 왜 대국민 사과 안함?
20240318,게이라면 키스 가능? 
20240318,손뽕 진짜 정신병 맞는듯
20240318,바르셀로나 풀백이 너무 아쉬움. 토너먼트 4강부턴 이게제일빡셈
20240318,손흥민이야기 영화로 나온다에
20240318,축리웹 이강인여론근황.JPG
20240318,얘네 보면 내가 아는 상식이 뒤틀리는것 같음
20240318,국대 지금 황선홍이랑 다들 면담하고 있겠네ㅋㅋㅋ
20240318,와 진짜 개 좆같이도 생겼네
20240318,해축갤이 쓰레기라 느끼는 순간
20240318,대민재 근황
20240318,손흥민 갈수록 소속팀경기도 처망할듯
20240318,이번 사건으로 이강인 참 멋지다고 확인함
20240318,이강인이 더 늦게 입국하는 것도 다행임
20240318,리그 경기 통산 최다 골이 메좆이냐?
20240318,손흥민이 머리 좋은 놈이었음
20240318,그냥 손흥민 이강인 둘다 하차해
20240318,예비군가서 m16 쓰고 충격먹은점
20240318,음바페랑 비비고 안고하면 대충 인정좀 해주지
20240318,손흥민한테도 보이지않는 무언가가 있음
20240318,2골2어시 > 14골8어시 밥줌마들은 진짜 정신병아니냐
20240318,변호사 대동하다가 ㅋㅋㅋ
20240318,?어떤 코치 가족이 하극상 충격이래 병신년아
20240318,이강인 재능은 역대급인가보네
20240318,현실에서 욕 안한다는 말이 뭔뜻임
20240318,손흥민이가 부릅니다 - 흥민의 꿈
20240318,오타니인지 뭔지 오늘 처음보고 있는데
20240318,"만시간의 법칙 -> 앰창민 131,500시간 무관 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
20240318,바르셀로나 파리 둘만 보면 바르셀로나가 요즘 더 폼 좋은데
20240318,우윙드립치는 애미뒤진 엠창견 새끼 ㅋㅋ 니눈깔엔 이게윙?
20240318,이강인은 하극상을한게아님
20240318,여론 안 좋아지니 사과 ㅋㅋㅋ
20240318,히딩크 박지성이 없애려고 노력한 국대 수직관계를
20240318,여론 지ㅉ자 살벌하노 ㅋㅋㅋ김건희는 선녀노 ㅋㅋ
20240318,앰창단 특 = 골키퍼한테도 골 못넣는다고 지랄할 병신들 ㅋㅋㅋㅋ
20240318,여자나 축구나 ^유^가 최고임
20240318,이강인 여론 어쩌고 광고 못하겠다 하는거 다 손뽕임
20240318,아 시발 울 강인이만 사과할수업서!!!
20240318,강인이 없이 똠양꿍한테 줫털려봐야 소중함을 아는거다ㅇㅇ
20240318,앰창단특=UEFA리그랭킹은 죽어라 믿으면서
20240318,근데 투헬 왜 라인 내리는 전술로 바꾼거임?
20240318,스포타임 관리자 어디사냐?
20240318,오늘 저녁식사 ㅁㅌㅊ...
20240318,factos) 강인이는 어려서부터 근본과 유관력이 있었음
20240318,뻘글)) 귀여운 강아지 보고 힐링
20240318,사과할거면 싸운놈 둘이 같이 해야하는거 아님?
